Carrier,Specialty,County,nproviders
Anthem BCBS,002 Family Medicine,SAN MIGUEL,7
Anthem BCBS,008 Cardiovascular Disease,ROUTT,7
Anthem BCBS,012 Endocrinology,DOUGLAS,7
Anthem BCBS,016 Gynecology (OB/GYN),LOGAN,7
Anthem BCBS,017 Infectious Diseases,EL PASO,7
Anthem BCBS,017 Infectious Diseases,JEFFERSON,7
Anthem BCBS,018 Nephrology,MESA,7
Anthem BCBS,019 Neurology,MESA,7
Anthem BCBS,021 Medical Oncology & Surgical Oncology,MESA,7
Anthem BCBS,022 Radiation Oncology,DOUGLAS,7
Anthem BCBS,023 Ophthalmology,LA PLATA,7
Anthem BCBS,023 Ophthalmology,MONTROSE,7
Anthem BCBS,026 Physical Medicine & Rehabilitation,DOUGLAS,7
Anthem BCBS,026 Physical Medicine & Rehabilitation,WELD,7
Anthem BCBS,027 Plastic Surgery,BOULDER,7
Anthem BCBS,027 Plastic Surgery,MESA,7
Anthem BCBS,028 Podiatry,LA PLATA,7
Anthem BCBS,028 Podiatry,WELD,7
Anthem BCBS,101 Pediatrics - Routine/Primary Care,DELTA,7
Anthem BCBS,101 Pediatrics - Routine/Primary Care,EAGLE,7
Anthem BCBS,101 Pediatrics - Routine/Primary Care,FREMONT,7
Anthem BCBS,101 Pediatrics - Routine/Primary Care,MONTROSE,7
Anthem BCBS,101 Pediatrics - Routine/Primary Care,PITKIN,7
Anthem BCBS,102 Licensed Clinical Social Workers,MESA,7
Anthem BCBS, 008 Cardiovascular Disease,ALAMOSA,6
Anthem BCBS, 008 Cardiovascular Disease,BOULDER,6
Anthem BCBS, 008 Cardiovascular Disease,LA PLATA,6
Anthem BCBS, 008 Cardiovascular Disease,MESA,6
Anthem BCBS, 008 Cardiovascular Disease,WELD,6
Anthem BCBS, 016 Gynecology (OB/GYN),DOUGLAS,6
Anthem BCBS, 016 Gynecology (OB/GYN),MESA,6
Anthem BCBS, 019 Neurology,DENVER,6
Anthem BCBS, 022 Radiation Oncology,ARAPAHOE,6
Anthem BCBS, 026 Physical Medicine & Rehabilitation,BOULDER,6
Anthem BCBS, 027 Plastic Surgery,ARAPAHOE,6
Anthem BCBS, 027 Plastic Surgery,DENVER,6
Anthem BCBS, 034 Vascular Surgery,DENVER,6
Anthem BCBS, 103 Psychology,BOULDER,6
Anthem BCBS, 103 Psychology,LARIMER,6
Anthem BCBS,001 General Practice,JEFFERSON,6
Anthem BCBS,002 Family Medicine,BACA,6
Anthem BCBS,002 Family Medicine,WASHINGTON,6
Anthem BCBS,003 Internal Medicine,ARCHULETA,6
Anthem BCBS,003 Internal Medicine,LAS ANIMAS,6
Anthem BCBS,003 Internal Medicine,OTERO,6
Anthem BCBS,003 Internal Medicine,PITKIN,6
Anthem BCBS,003 Internal Medicine,SUMMIT,6
Anthem BCBS,003 Internal Medicine,YUMA,6
Anthem BCBS,008 Cardiovascular Disease,GARFIELD,6
Anthem BCBS,010 Chiropracty,BROOMFIELD,6
Anthem BCBS,011 Dermatology,SUMMIT,6
Anthem BCBS,013 ENT/Otolaryngology,MESA,6
Anthem BCBS,013 ENT/Otolaryngology,PUEBLO,6
Anthem BCBS,013 ENT/Otolaryngology,WELD,6
Anthem BCBS,014 Gastroenterology,LA PLATA,6
Anthem BCBS,015 General Surgery,MONTROSE,6
Anthem BCBS,015 General Surgery,MORGAN,6
Anthem BCBS,015 General Surgery,SUMMIT,6
Anthem BCBS,016 Gynecology (OB/GYN),PITKIN,6
Anthem BCBS,018 Nephrology,BOULDER,6
Anthem BCBS,018 Nephrology,DOUGLAS,6
Anthem BCBS,020 Neurological Surgery,MESA,6
Anthem BCBS,020 Neurological Surgery,WELD,6
Anthem BCBS,021 Medical Oncology & Surgical Oncology,LA PLATA,6
Anthem BCBS,022 Radiation Oncology,JEFFERSON,6
Anthem BCBS,022 Radiation Oncology,MESA,6
Anthem BCBS,025 Orthopedic Surgery,GUNNISON,6
Anthem BCBS,025 Orthopedic Surgery,MOFFAT,6
Anthem BCBS,025 Orthopedic Surgery,MORGAN,6
Anthem BCBS,025 Orthopedic Surgery,PHILLIPS,6
Anthem BCBS,026 Physical Medicine & Rehabilitation,PUEBLO,6
Anthem BCBS,030 Pulmonology,MESA,6
Anthem BCBS,031 Rheumatology,BOULDER,6
Anthem BCBS,031 Rheumatology,LARIMER,6
Anthem BCBS,033 Urology,EAGLE,6
Anthem BCBS,033 Urology,GARFIELD,6
Anthem BCBS,035 Cardiothoracic Surgery,WELD,6
Anthem BCBS,103 Psychology,LA PLATA,6
Anthem BCBS, 003 Internal Medicine,GARFIELD,5
Anthem BCBS, 012 Endocrinology,LARIMER,5
Anthem BCBS, 012 Endocrinology,WELD,5
Anthem BCBS, 014 Gastroenterology,LARIMER,5
Anthem BCBS, 015 General Surgery,JEFFERSON,5
Anthem BCBS, 016 Gynecology (OB/GYN),BOULDER,5
Anthem BCBS, 016 Gynecology (OB/GYN),LARIMER,5
Anthem BCBS, 019 Neurology,EL PASO,5
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,ADAMS,5
Anthem BCBS, 022 Radiation Oncology,BOULDER,5
Anthem BCBS, 022 Radiation Oncology,DENVER,5
Anthem BCBS, 025 Orthopedic Surgery,ADAMS,5
Anthem BCBS, 025 Orthopedic Surgery,DOUGLAS,5
Anthem BCBS, 025 Orthopedic Surgery,JEFFERSON,5
Anthem BCBS, 030 Pulmonology,DOUGLAS,5
Anthem BCBS, 031 Rheumatology,ARAPAHOE,5
Anthem BCBS, 031 Rheumatology,BOULDER,5
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,WELD,5
Anthem BCBS, 103 Psychology,DENVER,5
Anthem BCBS,000 OTHER,LAKE,5
Anthem BCBS,001 General Practice,DENVER,5
Anthem BCBS,002 Family Medicine,Larimer,5
Anthem BCBS,003 Internal Medicine,Larimer,5
Anthem BCBS,007 Allergy and Immunology,WELD,5
Anthem BCBS,008 Cardiovascular Disease,EAGLE,5
Anthem BCBS,008 Cardiovascular Disease,MONTEZUMA,5
Anthem BCBS,008 Cardiovascular Disease,SUMMIT,5
Anthem BCBS,010 Chiropracty,CHAFFEE,5
Anthem BCBS,010 Chiropracty,EAGLE,5
Anthem BCBS,010 Chiropracty,TELLER,5
Anthem BCBS,011 Dermatology,LA PLATA,5
Anthem BCBS,012 Endocrinology,JEFFERSON,5
Anthem BCBS,014 Gastroenterology,GARFIELD,5
Anthem BCBS,016 Gynecology (OB/GYN),MOFFAT,5
Anthem BCBS,016 Gynecology (OB/GYN),MONTROSE,5
Anthem BCBS,017 Infectious Diseases,LARIMER,5
Anthem BCBS,017 Infectious Diseases,WELD,5
Anthem BCBS,018 Nephrology,PUEBLO,5
Anthem BCBS,021 Medical Oncology & Surgical Oncology,GARFIELD,5
Anthem BCBS,023 Ophthalmology,GARFIELD,5
Anthem BCBS,025 Orthopedic Surgery,ALAMOSA,5
Anthem BCBS,025 Orthopedic Surgery,MONTROSE,5
Anthem BCBS,027 Plastic Surgery,JEFFERSON,5
Anthem BCBS,027 Plastic Surgery,LARIMER,5
Anthem BCBS,033 Urology,JEFFERSON,5
Anthem BCBS,033 Urology,MESA,5
Anthem BCBS,035 Cardiothoracic Surgery,ADAMS,5
Anthem BCBS,101 Pediatrics - Routine/Primary Care,Larimer,5
Anthem BCBS,103 Psychology,SUMMIT,5
Anthem BCBS, 002 Family Medicine,ALAMOSA,4
Anthem BCBS, 002 Family Medicine,ARCHULETA,4
Anthem BCBS, 002 Family Medicine,BROOMFIELD,4
Anthem BCBS, 002 Family Medicine,LA PLATA,4
Anthem BCBS, 002 Family Medicine,MORGAN,4
Anthem BCBS, 002 Family Medicine,PROWERS,4
Anthem BCBS, 003 Internal Medicine,BROOMFIELD,4
Anthem BCBS, 003 Internal Medicine,TELLER,4
Anthem BCBS, 003 Internal Medicine,WELD,4
Anthem BCBS, 007 Allergy and Immunology,ARAPAHOE,4
Anthem BCBS, 007 Allergy and Immunology,BOULDER,4
Anthem BCBS, 011 Dermatology,ADAMS,4
Anthem BCBS, 011 Dermatology,DENVER,4
Anthem BCBS, 011 Dermatology,LARIMER,4
Anthem BCBS, 011 Dermatology,WELD,4
Anthem BCBS, 012 Endocrinology,BOULDER,4
Anthem BCBS, 014 Gastroenterology,JEFFERSON,4
Anthem BCBS, 015 General Surgery,LARIMER,4
Anthem BCBS, 015 General Surgery,WELD,4
Anthem BCBS, 017 Infectious Diseases,JEFFERSON,4
Anthem BCBS, 017 Infectious Diseases,LA PLATA,4
Anthem BCBS, 018 Nephrology,ARAPAHOE,4
Anthem BCBS, 018 Nephrology,EL PASO,4
Anthem BCBS, 019 Neurology,JEFFERSON,4
Anthem BCBS, 022 Radiation Oncology,JEFFERSON,4
Anthem BCBS, 025 Orthopedic Surgery,LA PLATA,4
Anthem BCBS, 025 Orthopedic Surgery,LARIMER,4
Anthem BCBS, 026 Physical Medicine & Rehabilitation,JEFFERSON,4
Anthem BCBS, 029 Psychiatry,BOULDER,4
Anthem BCBS, 029 Psychiatry,EL PASO,4
Anthem BCBS, 035 Cardiothoracic Surgery,LARIMER,4
Anthem BCBS, 035 Cardiothoracic Surgery,PUEBLO,4
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,ALAMOSA,4
Anthem BCBS, 103 Psychology,ARAPAHOE,4
Anthem BCBS,000 OTHER,CONEJOS,4
Anthem BCBS,000 OTHER,HUERFANO,4
Anthem BCBS,000 OTHER,Lincoln,4
Anthem BCBS,000 OTHER,PHILLIPS,4
Anthem BCBS,000 OTHER,RIO GRANDE,4
Anthem BCBS,001 General Practice,WELD,4
Anthem BCBS,004 Geriatrics,ARAPAHOE,4
Anthem BCBS,008 Cardiovascular Disease,LOGAN,4
Anthem BCBS,008 Cardiovascular Disease,PUEBLO,4
Anthem BCBS,010 Chiropracty,GRAND,4
Anthem BCBS,011 Dermatology,CHAFFEE,4
Anthem BCBS,012 Endocrinology,WELD,4
Anthem BCBS,013 ENT/Otolaryngology,LA PLATA,4
Anthem BCBS,015 General Surgery,DELTA,4
Anthem BCBS,015 General Surgery,PHILLIPS,4
Anthem BCBS,015 General Surgery,ROUTT,4
Anthem BCBS,016 Gynecology (OB/GYN),CHAFFEE,4
Anthem BCBS,016 Gynecology (OB/GYN),FREMONT,4
Anthem BCBS,016 Gynecology (OB/GYN),PHILLIPS,4
Anthem BCBS,016 Gynecology (OB/GYN),ROUTT,4
Anthem BCBS,017 Infectious Diseases,DOUGLAS,4
Anthem BCBS,017 Infectious Diseases,MESA,4
Anthem BCBS,018 Nephrology,LA PLATA,4
Anthem BCBS,019 Neurology,LA PLATA,4
Anthem BCBS,021 Medical Oncology & Surgical Oncology,MONTROSE,4
Anthem BCBS,022 Radiation Oncology,ADAMS,4
Anthem BCBS,022 Radiation Oncology,EL PASO,4
Anthem BCBS,022 Radiation Oncology,LOGAN,4
Anthem BCBS,022 Radiation Oncology,WELD,4
Anthem BCBS,023 Ophthalmology,OTERO,4
Anthem BCBS,025 Orthopedic Surgery,MONTEZUMA,4
Anthem BCBS,026 Physical Medicine & Rehabilitation,BROOMFIELD,4
Anthem BCBS,027 Plastic Surgery,LA PLATA,4
Anthem BCBS,028 Podiatry,MONTROSE,4
Anthem BCBS,029 Psychiatry,MESA,4
Anthem BCBS,029 Psychiatry,WELD,4
Anthem BCBS,031 Rheumatology,WELD,4
Anthem BCBS,033 Urology,CHAFFEE,4
Anthem BCBS,033 Urology,LA PLATA,4
Anthem BCBS,033 Urology,ROUTT,4
Anthem BCBS,034 Vascular Surgery,ARAPAHOE,4
Anthem BCBS,034 Vascular Surgery,MESA,4
Anthem BCBS,034 Vascular Surgery,PUEBLO,4
Anthem BCBS,102 Licensed Clinical Social Workers,MONTROSE,4
Anthem BCBS,102 Licensed Clinical Social Workers,ROUTT,4
Anthem BCBS,103 Psychology,DELTA,4
Anthem BCBS,103 Psychology,EAGLE,4
Anthem BCBS, 001 General Practice,JEFFERSON,3
Anthem BCBS, 001 General Practice,LARIMER,3
Anthem BCBS, 002 Family Medicine,DELTA,3
Anthem BCBS, 002 Family Medicine,MOFFAT,3
Anthem BCBS, 002 Family Medicine,MONTEZUMA,3
Anthem BCBS, 002 Family Medicine,SUMMIT,3
Anthem BCBS, 003 Internal Medicine,MONTROSE,3
Anthem BCBS, 003 Internal Medicine,MORGAN,3
Anthem BCBS, 007 Allergy and Immunology,DENVER,3
Anthem BCBS, 007 Allergy and Immunology,LARIMER,3
Anthem BCBS, 007 Allergy and Immunology,WELD,3
Anthem BCBS, 008 Cardiovascular Disease,ADAMS,3
Anthem BCBS, 008 Cardiovascular Disease,EAGLE,3
Anthem BCBS, 008 Cardiovascular Disease,GARFIELD,3
Anthem BCBS, 008 Cardiovascular Disease,LOGAN,3
Anthem BCBS, 008 Cardiovascular Disease,SUMMIT,3
Anthem BCBS, 008 Cardiovascular Disease,YUMA,3
Anthem BCBS, 010 Chiropracty,ARAPAHOE,3
Anthem BCBS, 011 Dermatology,EL PASO,3
Anthem BCBS, 012 Endocrinology,DOUGLAS,3
Anthem BCBS, 014 Gastroenterology,ADAMS,3
Anthem BCBS, 014 Gastroenterology,CHAFFEE,3
Anthem BCBS, 016 Gynecology (OB/GYN),PUEBLO,3
Anthem BCBS, 017 Infectious Diseases,BOULDER,3
Anthem BCBS, 018 Nephrology,ADAMS,3
Anthem BCBS, 018 Nephrology,BOULDER,3
Anthem BCBS, 019 Neurology,ADAMS,3
Anthem BCBS, 019 Neurology,CHAFFEE,3
Anthem BCBS, 020 Neurological Surgery,ARAPAHOE,3
Anthem BCBS, 020 Neurological Surgery,DENVER,3
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,CHAFFEE,3
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,GARFIELD,3
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,LA PLATA,3
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,WELD,3
Anthem BCBS, 025 Orthopedic Surgery,GARFIELD,3
Anthem BCBS, 026 Physical Medicine & Rehabilitation,ADAMS,3
Anthem BCBS, 026 Physical Medicine & Rehabilitation,WELD,3
Anthem BCBS, 029 Psychiatry,DENVER,3
Anthem BCBS, 030 Pulmonology,GARFIELD,3
Anthem BCBS, 030 Pulmonology,MORGAN,3
Anthem BCBS, 031 Rheumatology,BROOMFIELD,3
Anthem BCBS, 031 Rheumatology,DOUGLAS,3
Anthem BCBS, 033 Urology,DENVER,3
Anthem BCBS, 033 Urology,LA PLATA,3
Anthem BCBS, 034 Vascular Surgery,BOULDER,3
Anthem BCBS, 034 Vascular Surgery,EL PASO,3
Anthem BCBS, 035 Cardiothoracic Surgery,JEFFERSON,3
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,LA PLATA,3
Anthem BCBS, 102 Licensed Clinical Social Workers,DENVER,3
Anthem BCBS,000 OTHER,Park,3
Anthem BCBS,000 OTHER,SAGUACHE,3
Anthem BCBS,001 General Practice,ADAMS,3
Anthem BCBS,001 General Practice,ARAPAHOE,3
Anthem BCBS,001 General Practice,LARIMER,3
Anthem BCBS,001 General Practice,PROWERS,3
Anthem BCBS,002 Family Medicine,CHEYENNE,3
Anthem BCBS,002 Family Medicine,ELBERT,3
Anthem BCBS,002 Family Medicine,KIOWA,3
Anthem BCBS,002 Family Medicine,LINCOLN,3
Anthem BCBS,002 Family Medicine,OURAY,3
Anthem BCBS,007 Allergy and Immunology,BROOMFIELD,3
Anthem BCBS,007 Allergy and Immunology,EAGLE,3
Anthem BCBS,007 Allergy and Immunology,PUEBLO,3
Anthem BCBS,008 Cardiovascular Disease,ARCHULETA,3
Anthem BCBS,008 Cardiovascular Disease,MONTROSE,3
Anthem BCBS,010 Chiropracty,MOFFAT,3
Anthem BCBS,010 Chiropracty,MONTEZUMA,3
Anthem BCBS,010 Chiropracty,MORGAN,3
Anthem BCBS,011 Dermatology,MONTROSE,3
Anthem BCBS,013 ENT/Otolaryngology,EAGLE,3
Anthem BCBS,013 ENT/Otolaryngology,TELLER,3
Anthem BCBS,014 Gastroenterology,EAGLE,3
Anthem BCBS,015 General Surgery,ALAMOSA,3
Anthem BCBS,015 General Surgery,KIT CARSON,3
Anthem BCBS,015 General Surgery,MONTEZUMA,3
Anthem BCBS,015 General Surgery,OTERO,3
Anthem BCBS,015 General Surgery,PITKIN,3
Anthem BCBS,015 General Surgery,PROWERS,3
Anthem BCBS,016 Gynecology (OB/GYN),Larimer,3
Anthem BCBS,019 Neurology,GARFIELD,3
Anthem BCBS,019 Neurology,MORGAN,3
Anthem BCBS,020 Neurological Surgery,BROOMFIELD,3
Anthem BCBS,020 Neurological Surgery,PUEBLO,3
Anthem BCBS,021 Medical Oncology & Surgical Oncology,PUEBLO,3
Anthem BCBS,023 Ophthalmology,BROOMFIELD,3
Anthem BCBS,023 Ophthalmology,DELTA,3
Anthem BCBS,023 Ophthalmology,FREMONT,3
Anthem BCBS,025 Orthopedic Surgery,ARCHULETA,3
Anthem BCBS,025 Orthopedic Surgery,DELTA,3
Anthem BCBS,025 Orthopedic Surgery,RIO BLANCO,3
Anthem BCBS,025 Orthopedic Surgery,SEDGWICK,3
Anthem BCBS,026 Physical Medicine & Rehabilitation,LA PLATA,3
Anthem BCBS,027 Plastic Surgery,ADAMS,3
Anthem BCBS,027 Plastic Surgery,EAGLE,3
Anthem BCBS,027 Plastic Surgery,PUEBLO,3
Anthem BCBS,028 Podiatry,GARFIELD,3
Anthem BCBS,028 Podiatry,MORGAN,3
Anthem BCBS,029 Psychiatry,LA PLATA,3
Anthem BCBS,030 Pulmonology,DELTA,3
Anthem BCBS,030 Pulmonology,WELD,3
Anthem BCBS,031 Rheumatology,BROOMFIELD,3
Anthem BCBS,031 Rheumatology,MESA,3
Anthem BCBS,031 Rheumatology,PUEBLO,3
Anthem BCBS,033 Urology,BROOMFIELD,3
Anthem BCBS,033 Urology,MORGAN,3
Anthem BCBS,034 Vascular Surgery,JEFFERSON,3
Anthem BCBS,101 Pediatrics - Routine/Primary Care,MONTEZUMA,3
Anthem BCBS,102 Licensed Clinical Social Workers,CHAFFEE,3
Anthem BCBS,102 Licensed Clinical Social Workers,FREMONT,3
Anthem BCBS,102 Licensed Clinical Social Workers,GARFIELD,3
Anthem BCBS,102 Licensed Clinical Social Workers,MONTEZUMA,3
Anthem BCBS,102 Licensed Clinical Social Workers,MORGAN,3
Anthem BCBS,102 Licensed Clinical Social Workers,OURAY,3
Anthem BCBS,102 Licensed Clinical Social Workers,SUMMIT,3
Anthem BCBS,103 Psychology,CHAFFEE,3
Anthem BCBS,103 Psychology,MONTEZUMA,3
Anthem BCBS, 001 General Practice,ARAPAHOE,2
Anthem BCBS, 001 General Practice,ARCHULETA,2
Anthem BCBS, 001 General Practice,PROWERS,2
Anthem BCBS, 002 Family Medicine,CONEJOS,2
Anthem BCBS, 002 Family Medicine,LAKE,2
Anthem BCBS, 002 Family Medicine,PHILLIPS,2
Anthem BCBS, 003 Internal Medicine,DELTA,2
Anthem BCBS, 003 Internal Medicine,GUNNISON,2
Anthem BCBS, 004 Geriatrics,BOULDER,2
Anthem BCBS, 004 Geriatrics,LARIMER,2
Anthem BCBS, 004 Geriatrics,LAS ANIMAS,2
Anthem BCBS, 008 Cardiovascular Disease,ARCHULETA,2
Anthem BCBS, 008 Cardiovascular Disease,GRAND,2
Anthem BCBS, 008 Cardiovascular Disease,GUNNISON,2
Anthem BCBS, 008 Cardiovascular Disease,MONTROSE,2
Anthem BCBS, 010 Chiropracty,LARIMER,2
Anthem BCBS, 011 Dermatology,JEFFERSON,2
Anthem BCBS, 011 Dermatology,PUEBLO,2
Anthem BCBS, 012 Endocrinology,ADAMS,2
Anthem BCBS, 012 Endocrinology,JEFFERSON,2
Anthem BCBS, 014 Gastroenterology,BOULDER,2
Anthem BCBS, 014 Gastroenterology,BROOMFIELD,2
Anthem BCBS, 014 Gastroenterology,WELD,2
Anthem BCBS, 015 General Surgery,ADAMS,2
Anthem BCBS, 015 General Surgery,ARAPAHOE,2
Anthem BCBS, 015 General Surgery,BOULDER,2
Anthem BCBS, 015 General Surgery,GARFIELD,2
Anthem BCBS, 015 General Surgery,GUNNISON,2
Anthem BCBS, 016 Gynecology (OB/GYN),GARFIELD,2
Anthem BCBS, 016 Gynecology (OB/GYN),MORGAN,2
Anthem BCBS, 017 Infectious Diseases,DOUGLAS,2
Anthem BCBS, 017 Infectious Diseases,EL PASO,2
Anthem BCBS, 017 Infectious Diseases,LARIMER,2
Anthem BCBS, 018 Nephrology,DOUGLAS,2
Anthem BCBS, 018 Nephrology,JEFFERSON,2
Anthem BCBS, 019 Neurology,EAGLE,2
Anthem BCBS, 019 Neurology,GARFIELD,2
Anthem BCBS, 019 Neurology,MORGAN,2
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,ALAMOSA,2
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,DELTA,2
Anthem BCBS, 021 Medical Oncology & Surgical Oncology,YUMA,2
Anthem BCBS, 022 Radiation Oncology,ADAMS,2
Anthem BCBS, 022 Radiation Oncology,DOUGLAS,2
Anthem BCBS, 022 Radiation Oncology,EL PASO,2
Anthem BCBS, 025 Orthopedic Surgery,BROOMFIELD,2
Anthem BCBS, 026 Physical Medicine & Rehabilitation,EAGLE,2
Anthem BCBS, 026 Physical Medicine & Rehabilitation,LA PLATA,2
Anthem BCBS, 026 Physical Medicine & Rehabilitation,MORGAN,2
Anthem BCBS, 027 Plastic Surgery,ADAMS,2
Anthem BCBS, 028 Podiatry,EL PASO,2
Anthem BCBS, 029 Psychiatry,ADAMS,2
Anthem BCBS, 030 Pulmonology,CHAFFEE,2
Anthem BCBS, 031 Rheumatology,LA PLATA,2
Anthem BCBS, 034 Vascular Surgery,PUEBLO,2
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,MESA,2
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,PUEBLO,2
Anthem BCBS, 101 Pediatrics - Routine/Primary Care,ROUTT,2
Anthem BCBS, 103 Psychology,ADAMS,2
Anthem BCBS, 103 Psychology,ARCHULETA,2
Anthem BCBS, 103 Psychology,DOUGLAS,2
Anthem BCBS, 103 Psychology,EL PASO,2
Anthem BCBS,000 OTHER,BENT,2
Anthem BCBS,000 OTHER,OURAY,2
Anthem BCBS,000 OTHER,RIO BLANCO,2
Anthem BCBS,000 OTHER,SEDGWICK,2
Anthem BCBS,000 OTHER,WASHINGTON,2
Anthem BCBS,001 General Practice,ALAMOSA,2
Anthem BCBS,001 General Practice,EAGLE,2
Anthem BCBS,001 General Practice,GARFIELD,2
Anthem BCBS,001 General Practice,LA PLATA,2
Anthem BCBS,002 Family Medicine,COSTILLA,2
Anthem BCBS,002 Family Medicine,KIT CARSON,2
Anthem BCBS,002 Family Medicine,LAKE,2
Anthem BCBS,002 Family Medicine,Lincoln,2
Anthem BCBS,003 Internal Medicine,GRAND,2
Anthem BCBS,003 Internal Medicine,MOFFAT,2
Anthem BCBS,003 Internal Medicine,PHILLIPS,2
Anthem BCBS,003 Internal Medicine,RIO GRANDE,2
Anthem BCBS,004 Geriatrics,EL PASO,2
Anthem BCBS,007 Allergy and Immunology,MESA,2
Anthem BCBS,008 Cardiovascular Disease,ALAMOSA,2
Anthem BCBS,008 Cardiovascular Disease,CHAFFEE,2
Anthem BCBS,008 Cardiovascular Disease,FREMONT,2
Anthem BCBS,008 Cardiovascular Disease,GRAND,2
Anthem BCBS,008 Cardiovascular Disease,MOFFAT,2
Anthem BCBS,008 Cardiovascular Disease,PHILLIPS,2
Anthem BCBS,008 Cardiovascular Disease,TELLER,2
Anthem BCBS,010 Chiropracty,ALAMOSA,2
Anthem BCBS,010 Chiropracty,ARCHULETA,2
Anthem BCBS,010 Chiropracty,FREMONT,2
Anthem BCBS,010 Chiropracty,GARFIELD,2
Anthem BCBS,010 Chiropracty,KIT CARSON,2
Anthem BCBS,010 Chiropracty,LOGAN,2
Anthem BCBS,010 Chiropracty,ROUTT,2
Anthem BCBS,011 Dermatology,BROOMFIELD,2
Anthem BCBS,011 Dermatology,GARFIELD,2
Anthem BCBS,012 Endocrinology,EAGLE,2
Anthem BCBS,012 Endocrinology,MESA,2
Anthem BCBS,012 Endocrinology,PUEBLO,2
Anthem BCBS,013 ENT/Otolaryngology,GARFIELD,2
Anthem BCBS,013 ENT/Otolaryngology,SUMMIT,2
Anthem BCBS,014 Gastroenterology,CHAFFEE,2
Anthem BCBS,015 General Surgery,ARCHULETA,2
Anthem BCBS,015 General Surgery,GRAND,2
Anthem BCBS,015 General Surgery,RIO BLANCO,2
Anthem BCBS,015 General Surgery,TELLER,2
Anthem BCBS,016 Gynecology (OB/GYN),GRAND,2
Anthem BCBS,016 Gynecology (OB/GYN),GUNNISON,2
Anthem BCBS,016 Gynecology (OB/GYN),MONTEZUMA,2
Anthem BCBS,016 Gynecology (OB/GYN),PROWERS,2
Anthem BCBS,016 Gynecology (OB/GYN),SEDGWICK,2
Anthem BCBS,016 Gynecology (OB/GYN),YUMA,2
Anthem BCBS,017 Infectious Diseases,BOULDER,2
Anthem BCBS,018 Nephrology,MONTEZUMA,2
Anthem BCBS,018 Nephrology,WELD,2
Anthem BCBS,019 Neurology,BROOMFIELD,2
Anthem BCBS,019 Neurology,LOGAN,2
Anthem BCBS,019 Neurology,MONTROSE,2
Anthem BCBS,020 Neurological Surgery,GARFIELD,2
Anthem BCBS,021 Medical Oncology & Surgical Oncology,ALAMOSA,2
Anthem BCBS,021 Medical Oncology & Surgical Oncology,DELTA,2
Anthem BCBS,021 Medical Oncology & Surgical Oncology,Larimer,2
Anthem BCBS,021 Medical Oncology & Surgical Oncology,MORGAN,2
Anthem BCBS,022 Radiation Oncology,GARFIELD,2
Anthem BCBS,022 Radiation Oncology,LA PLATA,2
Anthem BCBS,023 Ophthalmology,ARCHULETA,2
Anthem BCBS,023 Ophthalmology,EAGLE,2
Anthem BCBS,023 Ophthalmology,LOGAN,2
Anthem BCBS,023 Ophthalmology,ROUTT,2
Anthem BCBS,025 Orthopedic Surgery,CHAFFEE,2
Anthem BCBS,025 Orthopedic Surgery,GRAND,2
Anthem BCBS,025 Orthopedic Surgery,KIT CARSON,2
Anthem BCBS,025 Orthopedic Surgery,PROWERS,2
Anthem BCBS,025 Orthopedic Surgery,RIO GRANDE,2
Anthem BCBS,025 Orthopedic Surgery,TELLER,2
Anthem BCBS,026 Physical Medicine & Rehabilitation,MONTEZUMA,2
Anthem BCBS,026 Physical Medicine & Rehabilitation,MONTROSE,2
Anthem BCBS,027 Plastic Surgery,DOUGLAS,2
Anthem BCBS,028 Podiatry,BROOMFIELD,2
Anthem BCBS,028 Podiatry,FREMONT,2
Anthem BCBS,028 Podiatry,MONTEZUMA,2
Anthem BCBS,028 Podiatry,RIO GRANDE,2
Anthem BCBS,028 Podiatry,SUMMIT,2
Anthem BCBS,030 Pulmonology,GARFIELD,2
Anthem BCBS,031 Rheumatology,LA PLATA,2
Anthem BCBS,033 Urology,MONTROSE,2
Anthem BCBS,033 Urology,YUMA,2
Anthem BCBS,034 Vascular Surgery,LARIMER,2
Anthem BCBS,035 Cardiothoracic Surgery,BOULDER,2
Anthem BCBS,101 Pediatrics - Routine/Primary Care,ALAMOSA,2
Anthem BCBS,101 Pediatrics - Routine/Primary Care,LAS ANIMAS,2
Anthem BCBS,101 Pediatrics - Routine/Primary Care,MOFFAT,2
Anthem BCBS,101 Pediatrics - Routine/Primary Care,MORGAN,2
Anthem BCBS,101 Pediatrics - Routine/Primary Care,SUMMIT,2
Anthem BCBS,101 Pediatrics - Routine/Primary Care,TELLER,2
Anthem BCBS,102 Licensed Clinical Social Workers,ALAMOSA,2
Anthem BCBS,102 Licensed Clinical Social Workers,ARCHULETA,2
Anthem BCBS,102 Licensed Clinical Social Workers,EAGLE,2
